Date,Date,Organic_Traffic,Unique_Visits,First_Time_Visits,Returning_Visits,Impressions,CTR,Avg_Position,Bounce_Rate,Day_of_Week,Is_Weekend,Month,Traffic_Lag7,Traffic_Lag14,Rolling_Mean_7,Rolling_Std_7,Algorithm_Flag
2014-09-28,2014-09-28,2465,1806,1613,193,1599,0.0487,6.8,0.3519,6,1,9,2288.0,2146.0,3442.285714285714,1104.6418294762202,0
2014-09-29,2014-09-29,4096,2873,2577,296,2721,0.0371,9.4,0.4311,0,0,9,3638.0,3621.0,3467.5714285714284,1075.4563151120014,0
2014-09-30,2014-09-30,4474,3032,2720,312,3586,0.0371,7.8,0.3635,1,0,9,4462.0,3698.0,3533.0,1101.1772488266058,0
2014-10-01,2014-10-01,4124,2849,2541,308,1927,0.0321,12.1,0.2511,2,0,10,4414.0,3667.0,3534.714285714286,1102.872569593561,0
2014-10-02,2014-10-02,3514,2489,2239,250,3032,0.0416,8.7,0.3825,3,0,10,4315.0,3316.0,3493.285714285714,1069.27291718652,0
2014-10-03,2014-10-03,3005,2097,1856,241,1521,0.0406,7.5,0.3602,4,0,10,3323.0,2815.0,3378.8571428571427,1007.771870443476,0
2014-10-04,2014-10-04,2054,1436,1274,162,1371,0.0257,16.8,0.3823,5,1,10,1656.0,1658.0,3333.4285714285716,1017.8267464133005,0
2014-10-05,2014-10-05,2847,1913,1713,200,1817,0.0377,11.2,0.3612,6,1,10,2465.0,2288.0,3390.285714285714,914.3640256640518,0
2014-10-06,2014-10-06,4501,3181,2853,328,3290,0.0355,11.1,0.3903,0,0,10,4096.0,3638.0,3444.8571428571427,859.7023571313168,0
2014-10-07,2014-10-07,4603,3163,2804,359,2481,0.054,6.5,0.4019,1,0,10,4474.0,4462.0,3502.714285714286,922.1846731694096,0
2014-10-08,2014-10-08,4187,3014,2663,351,3037,0.0429,9.4,0.3725,2,0,10,4124.0,4414.0,3521.1428571428573,945.8155966451083,0
2014-10-09,2014-10-09,4343,2864,2545,319,3763,0.0372,11.3,0.3452,3,0,10,3514.0,4315.0,3530.1428571428573,952.7823166165197,0
2014-10-10,2014-10-10,3565,2382,2100,282,1906,0.0482,7.9,0.3663,4,0,10,3005.0,3323.0,3648.5714285714284,1000.7550244928166,0
2014-10-11,2014-10-11,2080,1457,1280,177,1570,0.0249,13.4,0.3858,5,1,10,2054.0,1656.0,3728.5714285714284,962.3810501637512,0
2014-10-12,2014-10-12,3031,2089,1856,233,1842,0.0395,9.9,0.3413,6,1,10,2847.0,2465.0,3732.285714285714,954.8617202306855,0
2014-10-13,2014-10-13,4814,3339,2973,366,3427,0.0444,9.8,0.3774,0,0,10,4501.0,4096.0,3758.5714285714284,928.6010727868837,0
2014-10-14,2014-10-14,5040,3604,3217,387,3410,0.0394,8.8,0.3699,1,0,10,4603.0,4474.0,3803.285714285714,976.6041016853095,0
2014-10-15,2014-10-15,5028,3515,3094,421,3138,0.0348,16.3,0.4142,2,0,10,4187.0,4124.0,3865.714285714286,1047.6299782979534,0
2014-10-16,2014-10-16,4658,3331,2955,376,3351,0.0326,10.8,0.4068,3,0,10,4343.0,3514.0,3985.8571428571427,1135.1809589328955,0
2014-10-17,2014-10-17,3624,2477,2148,329,3211,0.0453,8.2,0.3393,4,0,10,3565.0,3005.0,4030.8571428571427,1157.7179317622267,0
2014-10-18,2014-10-18,2285,1619,1416,203,1550,0.0233,14.7,0.4162,5,1,10,2080.0,2054.0,4039.285714285714,1153.9697734755605,0
